"","species","Phylum","Class","Order","Family","records _GBIF_OBIS"
"132","Parasmittina jeffreysi","Bryozoa","Gymnolaemata","Cheilostomatida","Smittinidae",4
"133","Parastichopus tremulus","Echinodermata","Holothuroidea","Synallactida","Stichopodidae",328
"134","Peltaster placenta","Echinodermata","Asteroidea","Valvatida","Goniasteridae",40
"135","Pennatula phosphorea","Cnidaria","Anthozoa","Pennatulacea","Pennatulidae",2249
"136","Phycodrys rubens","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae",1773
"137","Phyllodoce rosea","Annelida","Polychaeta","Phyllodocida","Phyllodocidae",3163
"138","Phyllophora crispa","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae",1172
"139","Plicatellopsis bowerbanki","Porifera","Demospongiae","Suberitida","Suberitidae",26
"140","Polymastia grimaldii","Porifera","Demospongiae","Polymastiida","Polymastiidae",639
"141","Pontaster tenuispinus","Echinodermata","Asteroidea","Notomyotida","Benthopectinidae",716
"142","Porania pulvillus","Echinodermata","Asteroidea","Valvatida","Poraniidae",3726
"143","Poraniomorpha tumida","Echinodermata","Asteroidea","Valvatida","Poraniidae",181
"144","Pourtalesia jeffreysi","Echinodermata","Echinoidea","Holasteroida","Pourtalesiidae",29
"145","Primnoa resedaeformis","Cnidaria","Anthozoa","Alcyonacea","Primnoidae",161
"146","Protanthea simplex","Cnidaria","Anthozoa","Actiniaria","Gonactiniidae",438
"147","Pseudamussium peslutrae","Mollusca","Bivalvia","Pectinida","Pectinidae",827
"148","Pseudarchaster parelii","Echinodermata","Asteroidea","Paxillosida","Pseudarchasteridae",520
"149","Psolus phantapus","Echinodermata","Holothuroidea","Dendrochirotida","Psolidae",440
"150","Psolus squamatus","Echinodermata","Holothuroidea","Dendrochirotida","Psolidae",332
"151","Pteraster militaris","Echinodermata","Asteroidea","Velatida","Pterasteridae",1265
"152","Pteraster obscurus","Echinodermata","Asteroidea","Velatida","Pterasteridae",227
"153","Pteraster pulvillus","Echinodermata","Asteroidea","Velatida","Pterasteridae",406
"154","Ptilella grandis","Cnidaria","Anthozoa","Pennatulacea","Pennatulidae",480
"155","Ptychodactis patula","Cnidaria","Anthozoa","Actiniaria","Ptychodactinidae",7
"156","Ptychogastria polaris","Cnidaria","Hydrozoa","Trachymedusae","Ptychogastriidae",66
"157","Saccharina latissima","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae",5201
"158","Saccorhiza polyschides","Ochrophyta","Phaeophyceae","Tilopteridales","Phyllariaceae",2112
"159","Sagartia viduata","Cnidaria","Anthozoa","Actiniaria","Sagartiidae",31
"160","Sargassum muticum","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae",2298
"161","Solaster endeca","Echinodermata","Asteroidea","Valvatida","Solasteridae",2355
"162","Spatangus purpureus","Echinodermata","Echinoidea","Spatangoida","Spatangidae",1555
"163","Stichastrella rosea","Echinodermata","Asteroidea","Forcipulatida","Stichasteridae",1307
"164","Stryphnus ponderosus","Porifera","Demospongiae","Tetractinellida","Ancorinidae",103
"165","Tentorium semisuberites","Porifera","Demospongiae","Polymastiida","Polymastiidae",411
"166","Thenea abyssorum","Porifera","Demospongiae","Tetractinellida","Theneidae",13
"167","Thuiaria thuja","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae",979
"168","Tremaster mirabilis","Echinodermata","Asteroidea","Valvatida","Asterinidae",114
"169","Tubularia indivisa","Cnidaria","Hydrozoa","Anthoathecata","Tubulariidae",3437
"170","Umbellula encrinus","Cnidaria","Anthozoa","Pennatulacea","Umbellulidae",23
"171","Urasterias lincki","Echinodermata","Asteroidea","Forcipulatida","Asteriidae",131
"172","Weberella bursa","Porifera","Demospongiae","Polymastiida","Polymastiidae",76
"173","Zostera marina","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae",4617
